"Prices","year","month","State"
11.22,2001,1,"Alaska"
11.39,2001,2,"Alaska"
12.21,2001,3,"Alaska"
11.98,2001,4,"Alaska"
12.13,2001,5,"Alaska"
12.31,2001,6,"Alaska"
12.42,2001,7,"Alaska"
12.79,2001,8,"Alaska"
12.2,2001,9,"Alaska"
12.93,2001,10,"Alaska"
12.38,2001,11,"Alaska"
12.05,2001,12,"Alaska"
11.55,2002,1,"Alaska"
11.59,2002,2,"Alaska"
12.23,2002,3,"Alaska"
12.22,2002,4,"Alaska"
12.51,2002,5,"Alaska"
12.57,2002,6,"Alaska"
12.5,2002,7,"Alaska"
12.4,2002,8,"Alaska"
12.16,2002,9,"Alaska"
12.01,2002,10,"Alaska"
11.86,2002,11,"Alaska"
11.57,2002,12,"Alaska"
11.4,2003,1,"Alaska"
11.68,2003,2,"Alaska"
11.65,2003,3,"Alaska"
11.76,2003,4,"Alaska"
11.83,2003,5,"Alaska"
12.13,2003,6,"Alaska"
12.64,2003,7,"Alaska"
12.28,2003,8,"Alaska"
12.21,2003,9,"Alaska"
12.34,2003,10,"Alaska"
12.22,2003,11,"Alaska"
12.03,2003,12,"Alaska"
11.59,2004,1,"Alaska"
11.83,2004,2,"Alaska"
12.16,2004,3,"Alaska"
12.21,2004,4,"Alaska"
12.88,2004,5,"Alaska"
12.95,2004,6,"Alaska"
12.79,2004,7,"Alaska"
12.6,2004,8,"Alaska"
12.84,2004,9,"Alaska"
12.73,2004,10,"Alaska"
12.71,2004,11,"Alaska"
12.65,2004,12,"Alaska"
12.29,2005,1,"Alaska"
12.56,2005,2,"Alaska"
12.75,2005,3,"Alaska"
12.9,2005,4,"Alaska"
13.83,2005,5,"Alaska"
13.46,2005,6,"Alaska"
13.62,2005,7,"Alaska"
14.06,2005,8,"Alaska"
13.08,2005,9,"Alaska"
13.74,2005,10,"Alaska"
13.74,2005,11,"Alaska"
14.08,2005,12,"Alaska"
13.61,2006,1,"Alaska"
13.64,2006,2,"Alaska"
14.41,2006,3,"Alaska"
14.38,2006,4,"Alaska"
15.3,2006,5,"Alaska"
15.47,2006,6,"Alaska"
15.94,2006,7,"Alaska"
16.05,2006,8,"Alaska"
15.31,2006,9,"Alaska"
14.92,2006,10,"Alaska"
15.02,2006,11,"Alaska"
15.05,2006,12,"Alaska"
14.6,2007,1,"Alaska"
14.58,2007,2,"Alaska"
14.99,2007,3,"Alaska"
14.6,2007,4,"Alaska"
